Case #,Event Number,Priority,Call for Service,Labels,Event Origin,Queue,Event Status,Dispatch Area,District,Zone,Narrative Keywords,Primary Units,Involved Units,Total Units,Parent Event Number,Is Active,Is Forced Address,Disposition Code,Disposition Description,Received Date,Cleared Date,Address,Longitude,Latitude
2020-2010011,201102306,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 287320
Rounds: 8
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 34.9575 meters
Sensor Name: , Distance 464.316 meters
Sensor Name: , Distance 584.157 meters
Sensor Name: , Distance 1001.84 meters",1L7,"1L3, 1L4, 1L5, 1L6, 1L7, 1L8, 3L7, S53, S72, W114",10,,No,No,RTF,REPORT TO FOLLOW,11/2/2020 22:46,11/3/2020 0:40,"4300 MACDONALD AVE, RICHMOND, CA, 94805",-122.328511,37.932779
,201102307,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 287322
Rounds: 3
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 168.178 meters
Sensor Name: , Distance 430.195 meters
Sensor Name: , Distance 1168.01 meters
Sensor Name: , Distance 1074.97 meters",3L5,"1L5, 3L5, 3L6",3,,No,No,R23,UNABLE TO LOCATE,11/2/2020 22:54,11/2/2020 23:05,"733 RIPLEY AVE, RICHMOND, CA, 94801",-122.362061,37.940508
2020-2010043,201104009,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 287511
Rounds: 5
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 120.203 meters
Sensor Name: , Distance 811.065 meters
Sensor Name: , Distance 849.971 meters
Sensor Name: , Distance 1060.18 meters",1L4,"1L4, 1L5, 1L7",3,,No,No,RTF,REPORT TO FOLLOW,11/4/2020 1:31,11/4/2020 2:12,"970 18TH ST, RICHMOND, CA, 94801",-122.351956,37.946892
,201104027,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 287527
Rounds: 14
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 351.59 meters
Sensor Name: , Distance 706.045 meters
Sensor Name: , Distance 772.445 meters
Sensor Name: , Distance 1228.86 meters",1L5,"1K6, 1L5, S63",3,,No,No,R23,UNABLE TO LOCATE,11/4/2020 4:31,11/4/2020 4:50,"907 LINCOLN AVE, RICHMOND, CA, 94801",-122.360267,37.946595
2020-2010074,201104153,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,8,"Shotspotter ID: 287579
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 130.459 meters
Sensor Name: , Distance 222.626 meters
Sensor Name: , Distance 462.553 meters
Sensor Name: , Distance 359.899 meters",2L8,"2A5, 2L17, 2L8, 2L9",4,,No,No,RTF,REPORT TO FOLLOW,11/4/2020 14:56,11/4/2020 16:14,"2935 ALTA MIRA DR, RICHMOND, CA, 94806",-122.326562,37.973802
,201104289,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,1,"Shotspotter ID: 287639
Rounds: 15
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 711.846 meters
Sensor Name: , Distance 1735.98 meters
Sensor Name: , Distance 1113.02 meters
Sensor Name: , Distance 1695.48 meters",,,0,,No,No,NPA,NO POLICE ACTION,11/4/2020 23:56,11/4/2020 23:58,"1301 S 46TH ST, RICHMOND, CA, 94804",-122.334081,37.913293
,201105172,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 287711
Rounds: 24
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 501.968 meters
Sensor Name: , Distance 334.791 meters
Sensor Name: , Distance 137.019 meters
Sensor Name: , Distance 763.113 meters",,,0,201105171,No,No,,,11/5/2020 14:57,,"425 8TH ST, RICHMOND, CA, 94801",-122.362814,37.937545
,201106010,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 287771
Rounds: 2
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD",1L7,"1L2, 1L4, 1L7",3,,No,No,R23,UNABLE TO LOCATE,11/6/2020 0:46,11/6/2020 0:56,"436 PREBLE AVE, RICHMOND, CA, 94804",-122.346947,37.937489
,201106164,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 287839
Rounds: 1
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 749.695 meters
Sensor Name: , Distance 1575.95 meters
Sensor Name: , Distance 632.895 meters
Sensor Name: , Distance 990.066 meters",S54,S54,1,,No,No,R23,UNABLE TO LOCATE,11/6/2020 14:42,11/6/2020 14:54,"6 13TH ST, RICHMOND, CA, 94801",-122.356683,37.931734
,201107057,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,Outside City Limits,NORTH_RICHMOND,99,"Shotspotter ID: 287948
Rounds: 3
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 913.922 meters
Sensor Name: , Distance 316.308 meters
Sensor Name: , Distance 728.085 meters
Sensor Name: , Distance 467.941 meters",,,0,,No,No,NPA,NO POLICE ACTION,11/7/2020 5:51,11/7/2020 5:54,"1255 BATTERY ST, WILLARD AVE & SANFORD AVE, COUNTY, CA, 94801",-122.370778,37.951415
,201107194,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 288024
Rounds: 4
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 225.101 meters
Sensor Name: , Distance 392.791 meters
Sensor Name: , Distance 1002.14 meters
Sensor Name: , Distance 575.213 meters",2L2,"2L1, 2L2, 2L3, 2L4, 2L5",5,,No,No,R23,UNABLE TO LOCATE,11/7/2020 17:19,11/7/2020 17:31,"447 S 18TH ST, RICHMOND, CA, 94804",-122.352399,37.925687
2020-2010166,201107245,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 288054
Rounds: 5
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 172.107 meters
Sensor Name: , Distance 173.688 meters
Sensor Name: , Distance 808.194 meters
Sensor Name: , Distance 1300.72 meters",1L6,"1K2, 1L1, 1L3, 1L4, 1L5, 1L6, 1L7, W114",8,,No,No,RTF,REPORT TO FOLLOW,11/7/2020 20:40,11/7/2020 22:05,"2025 MACDONALD AVE, RICHMOND, CA, 94801",-122.349874,37.935852
,201107246,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 288055
Rounds: 9
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 111.078 meters
Sensor Name: , Distance 641.676 meters
Sensor Name: , Distance 581.309 meters
Sensor Name: , Distance 1003.57 meters",,,0,201107245,No,No,,,11/7/2020 20:40,,"2016 MACDONALD AVE, at 21ST ST, RICHMOND, CA, 94801",-122.350388,37.935615
,201107255,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 288060
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 555.175 meters
Sensor Name: , Distance 291.111 meters
Sensor Name: , Distance 180.482 meters
Sensor Name: , Distance 911.285 meters",1K2,1K2,1,,No,No,R23,UNABLE TO LOCATE,11/7/2020 21:10,11/7/2020 21:29,"257 S 16TH ST, at FLORIDA AVE, RICHMOND, CA, 94804",-122.354123,37.928616
,201107259,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 288063
Rounds: 8
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 13.1701 meters
Sensor Name: , Distance 460.646 meters
Sensor Name: , Distance 476.357 meters
Sensor Name: , Distance 1292.19 meters",1L5,"1K2, 1L3, 1L5",3,,No,No,R23,UNABLE TO LOCATE,11/7/2020 21:30,11/7/2020 21:48,"1427 FILBERT ST, RICHMOND, CA, 94801",-122.367339,37.953588
,201107284,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 288083
Rounds: 10
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 154.752 meters
Sensor Name: , Distance 624.132 meters
Sensor Name: , Distance 704.104 meters
Sensor Name: , Distance 909.709 meters",1L9,"1L8, 1L9",2,,No,No,R23,UNABLE TO LOCATE,11/7/2020 22:35,11/7/2020 22:51,"230 CHESLEY AVE, RICHMOND, CA, 94801",-122.368114,37.954557
,201108046,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,Outside City Limits,NORTH_RICHMOND,99,"Shotspotter ID: 288114
Rounds: 6
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD",1L3,"1K2, 1L3",2,,No,No,R23,UNABLE TO LOCATE,11/8/2020 4:13,11/8/2020 4:48,"1215 BATTERY ST, RICHMOND, CA, 94801",-122.370941,37.950665
,201108056,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 288126
Rounds: 2
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 79.6651 meters
Sensor Name: , Distance 546.549 meters
Sensor Name: , Distance 419.434 meters
Sensor Name: , Distance 837.776 meters",1L4,"1L4, 1L6",2,,No,No,R23,UNABLE TO LOCATE,11/8/2020 6:06,11/8/2020 6:36,"574 6TH ST, RICHMOND, CA, 94801",-122.363201,37.939833
,201108070,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 288136
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 296.394 meters
Sensor Name: , Distance 312.826 meters
Sensor Name: , Distance 695.011 meters
Sensor Name: , Distance 816.895 meters",2L2,"2L1, 2L2, 2L3",3,,No,No,R23,UNABLE TO LOCATE,11/8/2020 8:10,11/8/2020 8:12,"2120 OHIO AVE, RICHMOND, CA, 94804",-122.348901,37.930552
,201108203,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 288245
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 226.607 meters
Sensor Name: , Distance 767.079 meters
Sensor Name: , Distance 1617.94 meters
Sensor Name: , Distance 486.488 meters",2L3,"2L3, 2L8",2,,No,No,R23,UNABLE TO LOCATE,11/8/2020 18:03,11/8/2020 18:21,"2534 FLORIDA AVE, RICHMOND, CA, 94804",-122.344717,37.929142
,201108241,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 288263
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 1202.7 meters
Sensor Name: , Distance 1138.87 meters
Sensor Name: , Distance 231.741 meters
Sensor Name: , Distance 363.206 meters",1L2,"1L2, 1L3, 1L5",3,,No,No,R23,UNABLE TO LOCATE,11/8/2020 20:16,11/8/2020 20:32,"530 S 28TH ST, RICHMOND, CA, 94804",-122.342215,37.924503
,201108242,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 288264
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 268.88 meters
Sensor Name: , Distance 320.344 meters
Sensor Name: , Distance 490.937 meters
Sensor Name: , Distance 538.852 meters",,,0,201108241,No,No,,,11/8/2020 20:16,,"515 S 28TH ST, RICHMOND, CA, 94804",-122.342658,37.924776
,201109015,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 288285
Rounds: 8
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 96.234 meters
Sensor Name: , Distance 734.269 meters
Sensor Name: , Distance 788.272 meters
Sensor Name: , Distance 787.771 meters",1L4,"1L4, 1L5",2,,No,No,R23,UNABLE TO LOCATE,11/9/2020 0:40,11/9/2020 2:03,"2016 MACDONALD AVE, at 21ST ST, RICHMOND, CA, 94801",-122.350388,37.935615
,201109016,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 288288
Rounds: 5
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 398.689 meters
Sensor Name: , Distance 753.43 meters
Sensor Name: , Distance 1523.74 meters
Sensor Name: , Distance 1043.8 meters",1L2,"1L2, 1L3",2,,No,No,R23,UNABLE TO LOCATE,11/9/2020 0:42,11/9/2020 1:14,"1300 POTRERO AVE, RICHMOND, CA, 94804",-122.356671,37.923761
,201109017,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 288289
Rounds: 4
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 122.831 meters
Sensor Name: , Distance 494.391 meters
Sensor Name: , Distance 545.268 meters
Sensor Name: , Distance 994.123 meters",1L4,"1L4, 1L5",2,,No,No,R23,UNABLE TO LOCATE,11/9/2020 0:43,11/9/2020 2:14,"707 14TH ST, RICHMOND, CA, 94801",-122.356604,37.942343
,201109259,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 288405
Rounds: 6
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 94.0114 meters
Sensor Name: , Distance 511.646 meters
Sensor Name: , Distance 1595.19 meters
Sensor Name: , Distance 562.317 meters",3L5,"3L4, 3L5, 3L6",3,,No,No,R23,UNABLE TO LOCATE,11/9/2020 18:44,11/9/2020 18:58,"715 MAPLE AVE, RICHMOND, CA, 94801",-122.362492,37.939828
,201109306,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,8,"Shotspotter ID: 288467
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 275.218 meters
Sensor Name: , Distance 163.201 meters
Sensor Name: , Distance 225.256 meters
Sensor Name: , Distance 510.676 meters",1L8,"1L8, 3L8",2,,No,No,R23,UNABLE TO LOCATE,11/9/2020 22:40,11/9/2020 22:49,"2409 ABERDEEN WAY, RICHMOND, CA, 94806",-122.341263,37.97538
,201110036,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 288491
Rounds: 1
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 96.6117 meters
Sensor Name: , Distance 326.16 meters
Sensor Name: , Distance 405.72 meters
Sensor Name: , Distance 874.313 meters",1L5,"1L4, 1L5",2,,No,No,R23,UNABLE TO LOCATE,11/10/2020 6:15,11/10/2020 6:45,"25 BISSELL WAY, RICHMOND, CA, 94801",-122.359216,37.934629
,201110303,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 288632
Rounds: 3
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 508.477 meters
Sensor Name: , Distance 424.135 meters
Sensor Name: , Distance 484.978 meters
Sensor Name: , Distance 566.876 meters",1L2,"1L1, 1L2, 1L3",3,,No,No,R23,UNABLE TO LOCATE,11/10/2020 22:29,11/10/2020 22:38,"3912 WALL AVE, RICHMOND, CA, 94804",-122.332169,37.927798
,201110304,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 288633
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 518.75 meters
Sensor Name: , Distance 576.692 meters
Sensor Name: , Distance 852.034 meters
Sensor Name: , Distance 1096.64 meters",,,0,201110303,No,No,,,11/10/2020 22:29,,"3912 WALL AVE, RICHMOND, CA, 94804",-122.332169,37.927798
,201111002,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 288639
Rounds: 2
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 177.626 meters
Sensor Name: , Distance 589.568 meters
Sensor Name: , Distance 464.648 meters
Sensor Name: , Distance 558.297 meters",1L2,"1K6, 1L2, 1L7, S53",4,,No,No,R23,UNABLE TO LOCATE,11/11/2020 0:07,11/11/2020 0:22,"3901 OHIO AVE, RICHMOND, CA, 94804",-122.332673,37.93113
,201111003,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 288640
Rounds: 2
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 271.303 meters
Sensor Name: , Distance 647.53 meters
Sensor Name: , Distance 682.528 meters
Sensor Name: , Distance 851.861 meters",,,0,201111002,No,No,,,11/11/2020 0:07,,"143 S 39TH ST, RICHMOND, CA, 94804",-122.333138,37.930002
,201111004,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 288641
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 350.59 meters
Sensor Name: , Distance 701.576 meters
Sensor Name: , Distance 590.006 meters
Sensor Name: , Distance 922.729 meters",,,0,201111002,No,No,,,11/11/2020 0:07,,"209 S 39TH ST, RICHMOND, CA, 94804",-122.332998,37.929215
,201111160,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 288711
Rounds: 1
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 335.272 meters
Sensor Name: , Distance 286.96 meters
Sensor Name: , Distance 352.446 meters
Sensor Name: , Distance 568.38 meters",2L4,"2L13, 2L4",2,,No,No,R23,UNABLE TO LOCATE,11/11/2020 14:06,11/11/2020 14:14,"1410 KELSEY ST, ALAMO AVE & GERTRUDE AVE, RICHMOND, CA, 94801",-122.364107,37.953553
,201111252,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,,6,"Shotspotter ID: 288804
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 67.6699 meters
Sensor Name: , Distance 1177.18 meters
Sensor Name: , Distance 434.96 meters
Sensor Name: , Distance 1565.88 meters",3L6,3L6,1,,No,No,R23,UNABLE TO LOCATE,11/11/2020 20:13,11/11/2020 20:31,"301 4TH ST, RICHMOND, CA, 94801",-122.365777,37.935697
,201111266,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"PINOLE PD ADVD THEY RECEIVED A SHOT SPOTTER ACTIVATION AT LOC, 1 ROUND, NO CALLERS",3L3,3L3,1,,No,No,R23,UNABLE TO LOCATE,11/11/2020 21:26,11/11/2020 21:37,"2901 MARICOPA AVE, 29TH ST & 32ND ST, RICHMOND, CA, 94804",-122.338816,37.950694
,201112184,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,8,SPPD SHOT SPOTTER ACTIVATION // 5 ROUNDS IN THE MID OF  FIELDS/,3L9,3L9,1,,No,No,R23,UNABLE TO LOCATE,11/12/2020 15:19,11/12/2020 16:21,"3445 COLLINS AVE, RICHMOND PKWY & MORTON AVE, RICHMOND, CA, 94806",-122.353387,37.98008
,201112189,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 288952
Rounds: 6
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 244.695 meters
Sensor Name: , Distance 567.729 meters
Sensor Name: , Distance 819.793 meters
Sensor Name: , Distance 917.219 meters",3L5,"2L17, 2L2, 2L5, 3L3, 3L5",5,,No,No,R23,UNABLE TO LOCATE,11/12/2020 15:32,11/12/2020 15:52,"2611 ANDRADE AVE, RICHMOND, CA, 94804",-122.342835,37.947947
,201112231,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 288998
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 754.52 meters
Sensor Name: , Distance 332.004 meters
Sensor Name: , Distance 299.645 meters
Sensor Name: , Distance 631.536 meters",3L6,3L6,1,,No,No,R10,MISC. EXTRA PATROL,11/12/2020 19:27,11/12/2020 20:07,"W CHANSLOR AVE & CHANSLOR CIR, W CHANSLOR AVE & CHANSLOR CIR (W CHANSLOR & CHANSLOR CIR), RICHMOND, CA, 94801",-122.373126,37.932446
,201112241,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 289009
Rounds: 1
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 130.036 meters
Sensor Name: , Distance 648.72 meters
Sensor Name: , Distance 161.253 meters
Sensor Name: , Distance 477.718 meters",T51,T51,1,,No,No,R23,UNABLE TO LOCATE,11/12/2020 19:52,11/12/2020 19:58,"2110 BISSELL AVE, RICHMOND, CA, 94801",-122.349211,37.93395
,201112282,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 289033
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 170.286 meters
Sensor Name: , Distance 1130.79 meters
Sensor Name: , Distance 189.269 meters
Sensor Name: , Distance 509.869 meters",1K6,"1K4, 1K6, 1L5",3,,No,No,R23,UNABLE TO LOCATE,11/12/2020 23:18,11/12/2020 23:30,"432 BARRETT AVE, RICHMOND, CA, 94801",-122.364883,37.938239
,201113045,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 289056
Rounds: 2
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 257.122 meters
Sensor Name: , Distance 402.595 meters
Sensor Name: , Distance 1172.5 meters
Sensor Name: , Distance 489.37 meters",1L2,"1L1, 1L2",2,,No,No,R23,UNABLE TO LOCATE,11/13/2020 5:24,11/13/2020 5:39,"380 S 17TH ST, RICHMOND, CA, 94804",-122.352775,37.926816
,201114011,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 289175
Rounds: 7
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 293.815 meters
Sensor Name: , Distance 258.672 meters
Sensor Name: , Distance 345.289 meters",1L7,"1L4, 1L7",2,,No,No,R23,UNABLE TO LOCATE,11/14/2020 1:02,11/14/2020 1:12,"827 33RD ST, RICHMOND, CA, 94804",-122.335773,37.944184
,201114213,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 289311
Rounds: 4
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD",2L7,"2L5, 2L7",2,,No,No,R23,UNABLE TO LOCATE,11/14/2020 18:29,11/14/2020 18:43,"3801 BISSELL AVE, RICHMOND, CA, 94805",-122.333359,37.933167
,201114223,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,8,SPPD RECEIVED 1075 ACTIVATION AT 1911HRS  -SHOWS 11 ROUNDS IN THE DIRT FIELD SOUTH OF BUDGET STORAGE ,1L8,"1L8, 1L9",2,,No,No,R12,SERVICE RENDERED NO CRIME,11/14/2020 19:15,11/14/2020 19:27,"3445 COLLINS AVE, RICHMOND PKWY & MORTON AVE, RICHMOND, CA, 94806",-122.353387,37.98008
2020-2010382,201115007,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 289427
Rounds: 10
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 1537.57 meters
Sensor Name: , Distance 1061.7 meters
Sensor Name: , Distance 286.595 meters
Sensor Name: , Distance 439.778 meters",1L1,"1L1, 1L2, 1L7",3,,No,No,RTF,REPORT TO FOLLOW,11/15/2020 0:11,11/15/2020 1:11,"543 S 19TH ST, RICHMOND, CA, 94804",-122.351494,37.924317
,201115008,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,SAN_PABLO,73,"PER  SPPD, FRONT   PARKING  LOT ,  SHOWS  4 ROUNDS    CAME  IN AT  0;09 HOURS   ",,,0,,No,No,NPA,NO POLICE ACTION,11/15/2020 0:13,11/15/2020 0:16,"1250 23RD ST, RICHMOND, CA, 94804",-122.347276,37.951787
