Type,Respond ID,Date,Time,Address,Zone,Rounds,CAD ID,Beat,District,Latitude,Longitude
Probable Gunfire,99-168945,10/26/19,16:25:06,"18 Hildalgo Ct, San Pablo, CA 94806",SanPabloCA,7,19-33168,1,,37.97974551,-122.343574
Single Gunshot,99-168846,10/26/19,4:31:08,"2077 23rd St, San Pablo, CA 94806",SanPabloCA,1,19-33133,3,,37.96161156,-122.346863
Multiple Gunshots,99-168830,10/25/19,21:53:13,"5403 Riverside Ave, San Pablo, CA 94806",SanPabloCA,9,,2,,37.95331627,-122.3280472
Single Gunshot,99-168738,10/24/19,8:27:42,"2131 Stanton Ave, San Pablo, CA 94806",SanPabloCA,1,,1,,37.98126679,-122.339639
Probable Gunfire,99-168732,10/24/19,4:23:05,"2502 Market Ave, San Pablo, CA 94806",SanPabloCA,1,19-32925,3,,37.95625626,-122.3448508
Probable Gunfire,99-168556,10/23/19,0:55:28,"5491 Morrow Dr, San Pablo, CA 94806",SanPabloCA,1,19-32806,2,,37.95966553,-122.3268305
Multiple Gunshots,99-168037,10/19/19,19:48:14,"1999 Sanford Ave, San Pablo, CA 94806",SanPabloCA,14,S19-5014,3,,37.95122963,-122.3503182
Probable Gunfire,99-167818,10/17/19,21:01:39,"1700 Emeric Ave, San Pablo, CA 94806",SanPabloCA,1,19-32297,3,,37.95409125,-122.3530258
Probable Gunfire,99-167807,10/17/19,15:37:34,"1719 Costa Ave, Richmond, CA 94806",SanPabloCA,2,19-32265,3,,37.9504314,-122.3533469
Multiple Gunshots,99-167656,10/16/19,21:07:25,"1845 Rivers St, San Pablo, CA 94806",SanPabloCA,11,19-32176,1,,37.97271708,-122.345607
Probable Gunfire,99-167481,10/15/19,6:20:05,"14510 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,19-31994,1,,37.96749951,-122.3437783
Probable Gunfire,99-167429,10/13/19,19:50:57,"2200 Rivers St, San Pablo, CA 94806",SanPabloCA,1,19-31855,1,,37.97173476,-122.3424299
Single Gunshot,99-167384,10/13/19,5:12:52,"2725 Holly St, San Pablo, CA 94806",SanPabloCA,1,19-31807,1,,37.97291681,-122.3547941
Probable Gunfire,99-167217,10/9/19,22:45:24,"2103 California Ave, San Pablo, CA 94806",SanPabloCA,1,19-31474,3,,37.95378213,-122.3492095
Multiple Gunshots,99-167136,10/8/19,23:20:46,"2797 El Portal Dr, San Pablo, CA 94806",SanPabloCA,3,19-31353,1,,37.96317616,-122.3327796
Probable Gunfire,99-167061,10/8/19,2:09:18,"100 San Pablo Town Center, San Pablo, CA",SanPabloCA,1,,2,,37.95518319,-122.3333547
Multiple Gunshots,99-166951,10/7/19,18:56:32,"1421 Stanton Ave, San Pablo, CA 94806",SanPabloCA,5,,1,,37.97839043,-122.3470891
Single Gunshot,99-166913,10/7/19,6:20:34,"2131 Stanton Ave, San Pablo, CA 94806",SanPabloCA,1,19-31190,1,,37.98133753,-122.3396055
Single Gunshot,99-166893,10/6/19,23:31:58,"14417 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,19-31175,1,,37.96658659,-122.3447912
Probable Gunfire,99-166602,10/4/19,19:09:20,"1683 Manor Dr, San Pablo, CA 94806",SanPabloCA,1,19-31026,3,,37.96249807,-122.3515099
Multiple Gunshots,99-166553,10/3/19,22:21:06,"1511 Folsom Ave, San Pablo, CA 94806",SanPabloCA,9,19-30977,3,,37.96119328,-122.3536757
Single Gunshot,99-166451,10/3/19,1:55:15,"5 Church Ln, San Pablo, CA 94806",SanPabloCA,1,19-30871,2,,37.95870882,-122.3402631
Multiple Gunshots,99-166438,10/2/19,18:42:44,"1830 Broadway Ave, San Pablo, CA 94806",SanPabloCA,10,,1,,37.96982774,-122.3467848
Multiple Gunshots,99-166247,9/30/19,14:42:01,"1004 Miner Ave, San Pablo, CA 94806",SanPabloCA,15,,1,,37.97965534,-122.3514384
Probable Gunfire,99-166210,9/29/19,19:23:46,"2204 Pine Ave, San Pablo, CA 94806",SanPabloCA,3,19-30629,3,,37.9550285,-122.3480606
Multiple Gunshots,99-166127,9/29/19,10:26:43,"1120 Miner Ave, San Pablo, CA 94806",SanPabloCA,7,CALL477,1,,37.97953875,-122.3498682
Probable Gunfire,99-166075,9/28/19,23:56:01,"1200 Chesley Ave, Richmond, CA 94801",SanPabloCA,1,19-30564,3,,37.95478085,-122.3570657
Probable Gunfire,99-166017,9/28/19,10:44:46,"918 Miner Ave, San Pablo, CA 94806",SanPabloCA,1,19-30494,1,,37.98002572,-122.3522514
Probable Gunfire,99-165951,9/27/19,22:21:16,"1446 Contra Costa Ave, San Pablo, CA 94806",SanPabloCA,1,19-30427,2,,37.95351208,-122.3309712
Single Gunshot,99-165926,9/26/19,22:26:32,"2329 Dover Ave, San Pablo, CA 94806",SanPabloCA,1,,3,,37.95872691,-122.3462219
Multiple Gunshots,99-165887,9/25/19,20:58:39,"1331 California Ave, San Pablo, CA 94806",SanPabloCA,9,19-30197,3,,37.95339807,-122.3562422
Probable Gunfire,99-165750,9/24/19,23:44:51,"14280 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,19-030073,1,,37.96464138,-122.3448663
Probable Gunfire,99-165541,9/23/19,6:27:22,"14629 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,19-29876,1,,37.96955391,-122.343905
Single Gunshot,99-165414,9/21/19,2:45:00,"13900 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,,3,,37.96000828,-122.3417951
Single Gunshot,99-165408,9/21/19,2:01:14,"2025 23rd St, San Pablo, CA 94806",SanPabloCA,1,,3,,37.96080415,-122.3465518
Single Gunshot,99-165336,9/20/19,0:15:04,"1970 23rd St, San Pablo, CA 94806",SanPabloCA,1,19-29540,3,,37.95958394,-122.3465744
Single Gunshot,99-165222,9/18/19,2:23:12,"14640 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,19-29288,1,,37.96932676,-122.3434048
Probable Gunfire,99-165176,9/17/19,9:06:51,"2133 Bush Ave, San Pablo, CA 94806",SanPabloCA,5,,3,,37.95598753,-122.3484983
Multiple Gunshots,99-165094,9/16/19,12:03:57,"901 Palmer Ave, San Pablo, CA 94806",SanPabloCA,4,384,1,,37.97809013,-122.3530917
Single Gunshot,99-164914,9/14/19,20:55:38,"1631 14th St, San Pablo, CA 94806",SanPabloCA,1,19-28941,3,,37.95642723,-122.3560526
Probable Gunfire,99-164774,9/13/19,23:12:16,"1937 Powell St, San Pablo, CA 94806",SanPabloCA,1,,3,,37.95898945,-122.3461208
Probable Gunfire,99-164748,9/13/19,12:53:17,"3400 Giant Rd, San Pablo, CA 94806",SanPabloCA,2,19-28788,1,,37.9796322,-122.3526143
Probable Gunfire,99-164556,9/11/19,4:21:12,"14480 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,19-28511,1,,37.96691585,-122.3438086
Probable Gunfire,99-164554,9/11/19,1:04:37,"2134 Alfreda Blvd, San Pablo, CA 94806",SanPabloCA,1,,3,,37.95240605,-122.3485988
Single Gunshot,99-164552,9/10/19,23:26:47,"2670 19th St, San Pablo, CA 94806",SanPabloCA,1,19-28495,1,,37.9692065,-122.3467989
Multiple Gunshots,99-164499,9/9/19,21:55:09,"2965 14th St, San Pablo, CA 94806",SanPabloCA,3,19-28370,1,,37.97476169,-122.3494404
Single Gunshot,99-164229,9/5/19,1:11:40,"2451 Church Ln, San Pablo, CA 94806",SanPabloCA,1,19-27824,3,,37.9607064,-122.3380533
Probable Gunfire,99-164074,9/1/19,17:30:49,"1016 Miner Ave, San Pablo, CA 94806",SanPabloCA,6,e19-27444,1,,37.97951396,-122.3512789
Probable Gunfire,99-163985,9/1/19,5:18:24,"1825 Church Ln, San Pablo, CA 94806",SanPabloCA,1,19-27403,3,,37.95666835,-122.3423418
Probable Gunfire,99-163877,8/31/19,18:53:45,"1003 Stanton Ave, San Pablo, CA 94806",SanPabloCA,5,19-27353,1,,37.97867861,-122.3518859
Multiple Gunshots,99-163876,8/31/19,18:53:38,"1243 Stanton Ave, San Pablo, CA 94806",SanPabloCA,3,19-27353,1,,37.97825464,-122.3484929
